"","Dim1","Dim2","Dim3","Dim4"
"Aunjanue Ellis",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Austin Pendleton",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ayelet Zurer",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bahare Seddiqi",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Bai Ling",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bailee Madison",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Bam Margera",0.420183055690095,-0.541520360293079,1.03798680388608,-1.75570647965271
"Barack Obama",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Barry Corbin",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Barry Watson",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Bashar Rahal",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Beau Bridges",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Beau Mirchoff",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bebe Neuwirth",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Belén Rueda",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Bella Thorne",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ben Davies",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Ben Feldman",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Ben Gazzara",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Benedict Cumberbatch",0.19056082582631,-0.40374500317657,0.486167908221097,0.0490485912972365
"Benjamin A. Onyango",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Benno Fürmann",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bérénice Bejo",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Bernie Mac",-0.449044211685428,-0.102111360284015,0.448016193749739,0.01081396278874
"Beth Grant",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Bianca Kajlich",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bill Bailey",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Bill Cobbs",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Bill Duke",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bill Maher",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Bill Murray",-0.103728111833583,-0.268236554743238,0.528405261614861,-0.170597064173673
"Billy Burke",0.672792482769489,1.0900992487576,0.0700544061342713,0.509597745970697
"Billy Campbell",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Billy Crudup",0.0518413774051972,-0.509586775165811,-1.51193021643199,-0.0258128205617797
"Bingbing Li",0.028406099167398,-0.590062732583734,-2.40061549962554,-0.424194540681278
"Bjørn Sundquist",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Blair Brown",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Blair Underwood",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Blanchard Ryan",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Blythe Danner",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bob Hoskins",1.01724081210271,1.95333971421015,-0.0471771601582275,0.352786021746786
"Bob Neill",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Bobby Lee",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
