"","Dim1","Dim2","Dim3","Dim4"
"Barry Skolnick",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Barry Sonnenfeld",0.0558563367528933,0.148572656777245,-0.57631314186858,-0.404322808038393
"Barry W. Blaustein",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Bart Freundlich",0.052058187058569,1.44488036229405,1.57648592386854,0.172746031414472
"Baz Luhrmann",0.145032346683559,0.121618220948377,-0.499420716344422,0.609267627165104
"Beeban Kidron",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Ben Affleck",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Ben Falcone",1.6276352101726,-1.82477038300272,1.00827346498778,-0.0918831470347755
"Ben Lewin",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Ben Stiller",0.145032346683559,0.121618220948377,-0.499420716344422,0.609267627165104
"Ben Wheatley",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Ben Younger",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Benh Zeitlin",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Benjamin Dickinson",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Bennett Miller",-0.0779076781431046,0.189004310520546,-0.691651780154816,-1.92470846084364
"Benny Boom",3.11023807366163,-3.77115898695381,2.51596764631997,-0.793033921234655
"Benson Lee",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Betty Thomas",0.886333778428078,-0.85157608102717,0.254426374321677,0.258692240065164
"Bibo Bergeron",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bill Condon",1.13343425567625,-1.17597418168569,0.505708737877044,0.141833777698518
"Bill Duke",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bill Paxton",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bill Plympton",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bille August",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bille Woodruff",1.6276352101726,-1.82477038300272,1.00827346498778,-0.0918831470347755
"Billy Bob Thornton",-0.170881837768094,1.51226645186622,1.38425486005814,-2.36123005659427
"Billy Ray",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Blair Hayes",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bo Welch",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Boaz Yakin",-0.00359433653421687,0.166542280663157,-0.627574758884685,-1.08004976484073
"Bob Clark",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bob Dolman",3.11023807366163,-3.77115898695381,2.51596764631997,-0.793033921234655
"Bob Odenkirk",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Bob Rafelson",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bob Saget",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bob Spiers",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Bobby Farrelly",0.424957421941864,-0.295937893358051,-0.207095579117354,-0.109649453325701
"Bonnie Hunt",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brad Anderson",-0.764291961689157,-0.401450688713822,-0.103114704771493,0.551640806183109
"Brad Bird",-0.853467971619822,-0.374496252884955,-0.18000713029565,-0.461949629020388
"Brad Furman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brad Peyton",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Brad Silberling",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Bradley Parker",3.11023807366163,-3.77115898695381,2.51596764631997,-0.793033921234655
"Brandon Camp",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brandon Trost",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Breck Eisner",0.0830495736002322,1.00379298184549,0.884517043797553,0.318253229998016
"Brenda Chapman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brendan Malloy",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brett Ratner",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Baugh",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Brian Dannelly",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian De Palma",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Gibson",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Helgeland",-0.890657635469818,0.154808603653314,0.650355525789534,-0.636558267320641
"Brian Klugman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Koppelman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Levant",1.33111463747479,-1.4354926622125,0.706734628721337,0.0483470078052004
"Brian Percival",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Brian Robbins",0.114040960141895,0.562705601396935,0.192548163726565,0.46376042858156
